unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
50,129-133 W 27th St,P8,804,15889,$110.00,Elizabeth Swann,test1@okadaco.com,Bran Stark,Mary Cooper,Sergio Perez,"$1,747,790","$145,649","$314,602"
51,99 University Pl,P2,203,10213,$91.00,Hector Barbossa,test1@okadaco.com,Jon Snow,Dr. Linkletter,Carlos Sainz,"$929,383","$77,449","$167,289"
52,99 University Pl,P2,205/206,15811,$104.00,Hector Barbossa,test1@okadaco.com,Arya Stark,Georgie Cooper,Fernando Alonso,"$1,644,344","$137,029","$295,982"
53,99 University Pl,E4,400,19362,$86.00,James Norrington,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Oscar Piastri,"$1,665,132","$138,761","$299,724"
54,99 University Pl,E6,600,9814,$83.00,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Mary Cooper,Sergio Perez,"$814,562","$67,880","$146,621"
55,99 University Pl,E8,800,15757,$86.00,Davy Jones,test1@okadaco.com,Jorah Mormont,Pastor Jeff,Charles Leclerc,"$1,355,102","$112,925","$243,918"
56,99 University Pl,E10,1000,9125,$92.00,James Norrington,test1@okadaco.com,Arya Stark,Dr. Sturgis,Fernando Alonso,"$839,500","$69,958","$151,110"
57,552 Seventh Ave,E5,500,10829,$91.00,Cutler Beckett,test1@okadaco.com,Arya Stark,Dr. Sturgis,Max Verstappen,"$985,439","$82,120","$177,379"
58,9 Times Sq,E2,200,10092,$91.00,James Norrington,test1@okadaco.com,Jon Snow,Dr. Sturgis,Lewis Hamilton,"$918,372","$76,531","$165,307"
59,9 Times Sq,E3,300,13391,$88.00,Tia Dalma,test1@okadaco.com,The Hound,Georgie Cooper,Oscar Piastri,"$1,178,408","$98,201","$212,113"
60,9 Times Sq,P3,3C,18890,$94.00,Cutler Beckett,test1@okadaco.com,Arya Stark,Pastor Jeff,Carlos Sainz,"$1,775,660","$147,972","$319,619"
61,9 Times Sq,P3,3A,14188,$101.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,Sheldon Cooper,Sergio Perez,"$1,432,988","$119,416","$257,938"
62,9 Times Sq,P3,3B,9740,$100.00,Will Turner,test1@okadaco.com,Sansa Stark,Brenda Sparks,Lando Norris,"$974,000","$81,167","$175,320"
63,9 Times Sq,P4,405,12282,$99.00,Jack Sparrow,test1@okadaco.com,Tyrion Lannister,Pastor Jeff,Charles Leclerc,"$1,215,918","$101,327","$218,865"
64,9 Times Sq,E7,700,17855,$98.00,Jack Sparrow,test1@okadaco.com,The Hound,Brenda Sparks,Lando Norris,"$1,749,790","$145,816","$314,962"
65,9 Times Sq,P12,1203,18059,$93.00,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Mary Cooper,Sergio Perez,"$1,679,487","$139,957","$302,308"
66,9 Times Sq,P18,1802,15759,$110.00,Bootstrap Bill,test1@okadaco.com,Jorah Mormont,George Cooper Sr.,Lewis Hamilton,"$1,733,490","$144,458","$312,028"
67,9 Times Sq,P19,1902,12062,$103.00,Joshamee Gibbs,test1@okadaco.com,Bran Stark,Brenda Sparks,Fernando Alonso,"$1,242,386","$103,532","$223,629"
68,9 Times Sq,E20,2000,15209,$109.00,Jack Sparrow,test1@okadaco.com,Jaime Lannister,Georgie Cooper,Carlos Sainz,"$1,657,781","$138,148","$298,401"
69,9 Times Sq,P21,2102,16770,$99.00,Davy Jones,test1@okadaco.com,Jon Snow,Brenda Sparks,George Russell,"$1,660,230","$138,353","$298,841"
70,9 Times Sq,P21,2101,13081,$81.00,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Georgie Cooper,Sergio Perez,"$1,059,561","$88,297","$190,721"
71,145 E 32nd St,P BSMT,BSMT,18494,$89.00,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Carlos Sainz,"$1,645,966","$137,164","$296,274"
72,145 E 32nd St,E GRND,RETL,15635,$109.00,Joshamee Gibbs,test1@okadaco.com,Daenerys Targaryen,Meemaw,Fernando Alonso,"$1,704,215","$142,018","$306,759"
73,145 E 32nd St,E GRND,RETL,15534,$88.00,Tia Dalma,test1@okadaco.com,Jaime Lannister,Dr. Sturgis,Sergio Perez,"$1,366,992","$113,916","$246,059"
74,145 E 32nd St,E MEZZ,MEZZ,11972,$81.00,Davy Jones,test1@okadaco.com,Tyrion Lannister,Missy Cooper,Oscar Piastri,"$969,732","$80,811","$174,552"
75,145 E 32nd St,E11,1100,13375,$85.00,Bootstrap Bill,test1@okadaco.com,Tyrion Lannister,Dr. Linkletter,George Russell,"$1,136,875","$94,740","$204,638"
76,145 E 32nd St,E12,1200,10058,$93.00,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Dr. Sturgis,Carlos Sainz,"$935,394","$77,950","$168,371"
77,173 Elizabeth St,-,1008,10490,$95.00,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lewis Hamilton,"$996,550","$83,046","$179,379"
