unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
1,36 W 36th St,E3,300,18650,$87.00,Hector Barbossa,test1@okadaco.com,Jorah Mormont,Meemaw,Oscar Piastri,"$1,622,550","$135,213","$292,059"
2,15 W 38th St,E3,300,17260,$109.00,Joshamee Gibbs,test1@okadaco.com,Tyrion Lannister,George Cooper Sr.,Fernando Alonso,"$1,881,340","$156,778","$338,641"
3,15 W 38th St,E6,600,15044,$87.00,James Norrington,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Max Verstappen,"$1,308,828","$109,069","$235,589"
4,15 W 38th St,P7,702,9421,$90.00,Hector Barbossa,test1@okadaco.com,Daenerys Targaryen,Dr. Sturgis,Oscar Piastri,"$847,890","$70,658","$152,620"
5,15 W 38th St,P8,808,17536,$92.00,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Dr. Linkletter,Lewis Hamilton,"$1,613,312","$134,443","$290,396"
6,15 W 38th St,P9,901,18916,$89.00,Cutler Beckett,test1@okadaco.com,Arya Stark,Pastor Jeff,Sergio Perez,"$1,683,524","$140,294","$303,034"
7,15 W 38th St,P9,902,12647,$86.00,Cutler Beckett,test1@okadaco.com,Bran Stark,Meemaw,Sergio Perez,"$1,087,642","$90,637","$195,776"
8,15 W 38th St,E10,101,18177,$90.00,Jack Sparrow,test1@okadaco.com,Cersei Lannister,Brenda Sparks,Carlos Sainz,"$1,635,930","$136,328","$294,467"
9,15 W 38th St,P11,1102,12021,$94.00,Tia Dalma,test1@okadaco.com,Sansa Stark,Sheldon Cooper,Oscar Piastri,"$1,129,974","$94,165","$203,395"
10,15 W 38th St,P11,1103,9337,$104.00,Elizabeth Swann,test1@okadaco.com,Tyrion Lannister,Pastor Jeff,George Russell,"$971,048","$80,921","$174,789"
11,15 W 38th St,P12,1202,12956,$101.00,Cutler Beckett,test1@okadaco.com,Jaime Lannister,George Cooper Sr.,Lewis Hamilton,"$1,308,556","$109,046","$235,540"
12,1412 Broadway,P4,404,15687,$95.00,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Sheldon Cooper,Lewis Hamilton,"$1,490,265","$124,189","$268,248"
13,1412 Broadway,P4,407,19712,$107.00,Davy Jones,test1@okadaco.com,Jaime Lannister,Brenda Sparks,Fernando Alonso,"$2,109,184","$175,765","$379,653"
14,1412 Broadway,E5,500,16434,$81.00,Cutler Beckett,test1@okadaco.com,Jaime Lannister,Missy Cooper,Carlos Sainz,"$1,331,154","$110,930","$239,608"
15,1412 Broadway,E6,600,10904,$102.00,Hector Barbossa,test1@okadaco.com,Jaime Lannister,Sheldon Cooper,Fernando Alonso,"$1,112,208","$92,684","$200,197"
16,1412 Broadway,E7,700,13073,$80.00,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Meemaw,George Russell,"$1,045,840","$87,153","$188,251"
17,1412 Broadway,E8,800,18454,$101.00,Davy Jones,test1@okadaco.com,Jon Snow,Sheldon Cooper,Oscar Piastri,"$1,863,854","$155,321","$335,494"
18,1412 Broadway,P16,1600,17793,$86.00,Davy Jones,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Charles Leclerc,"$1,530,198","$127,517","$275,436"
19,1412 Broadway,P16,1606,16696,$86.00,Will Turner,test1@okadaco.com,Jon Snow,Pastor Jeff,Daniel Ricciardo,"$1,435,856","$119,655","$258,454"
20,1412 Broadway,P23,2310,16310,$80.00,Tia Dalma,test1@okadaco.com,Arya Stark,Meemaw,Daniel Ricciardo,"$1,304,800","$108,733","$234,864"
21,314 E 34th St,P2,200,16209,$93.00,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Sheldon Cooper,Lewis Hamilton,"$1,507,437","$125,620","$271,339"
22,221-223 W 37th St,E3,300,10814,$105.00,Davy Jones,test1@okadaco.com,Bran Stark,Dr. Sturgis,Oscar Piastri,"$1,135,470","$94,623","$204,385"
23,14 E 44th St,E4,400,18118,$98.00,Hector Barbossa,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,George Russell,"$1,775,564","$147,964","$319,602"
24,14 E 44th St,E5,500,11742,$95.00,Hector Barbossa,test1@okadaco.com,Sansa Stark,Pastor Jeff,Charles Leclerc,"$1,115,490","$92,958","$200,788"
25,202 W 40th St,E2,200,19323,$96.00,Will Turner,test1@okadaco.com,Cersei Lannister,Mary Cooper,Carlos Sainz,"$1,855,008","$154,584","$333,901"
26,202 W 40th St,E5,500,17748,$108.00,Bootstrap Bill,test1@okadaco.com,Daenerys Targaryen,Sheldon Cooper,Lewis Hamilton,"$1,916,784","$159,732","$345,021"
27,202 W 40th St,E9,903,16689,$98.00,Will Turner,test1@okadaco.com,Jaime Lannister,Brenda Sparks,Lando Norris,"$1,635,522","$136,294","$294,394"
28,345 Seventh Avenue,P25,2501,13998,$106.00,Davy Jones,test1@okadaco.com,Jaime Lannister,Sheldon Cooper,Oscar Piastri,"$1,483,788","$123,649","$267,082"
29,345 Seventh Avenue,E23,Duplex,13328,$81.00,James Norrington,test1@okadaco.com,Arya Stark,Mary Cooper,George Russell,"$1,079,568","$89,964","$194,322"
